"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 14:17:57 IST 2024","Thu Jul 04 14:17:59 IST 2024","1849","webkit","loginTestFixtures.spec.ts","","","","Login-Logout Test",""
"passed","Thu Jul 04 14:17:53 IST 2024","Thu Jul 04 14:17:56 IST 2024","3484","firefox","loginTest.spec.ts","","","","Login-Logout Test-2",""
"passed","Thu Jul 04 14:17:55 IST 2024","Thu Jul 04 14:17:58 IST 2024","3060","firefox","loginTestFixtures.spec.ts","","","","Login-Logout Test",""
"passed","Thu Jul 04 14:17:53 IST 2024","Thu Jul 04 14:17:55 IST 2024","1966","chromium","loginTest.spec.ts","","","","Login-Logout Test-2",""
"passed","Thu Jul 04 14:17:53 IST 2024","Thu Jul 04 14:17:55 IST 2024","1960","chromium","loginTest.spec.ts","","","","Login-Logout Test-1",""
"passed","Thu Jul 04 14:17:53 IST 2024","Thu Jul 04 14:17:55 IST 2024","1862","chromium","loginTestFixtures.spec.ts","","","","Login-Logout Test",""
"passed","Thu Jul 04 14:17:55 IST 2024","Thu Jul 04 14:17:57 IST 2024","2222","webkit","loginTest.spec.ts","","","","Login-Logout Test-1",""
"passed","Thu Jul 04 14:17:55 IST 2024","Thu Jul 04 14:17:57 IST 2024","2284","webkit","loginTest.spec.ts","","","","Login-Logout Test-2",""
"passed","Thu Jul 04 14:17:53 IST 2024","Thu Jul 04 14:17:56 IST 2024","3350","firefox","loginTest.spec.ts","","","","Login-Logout Test-1",""
